010100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apakah maksud dari ayat Bismillahirrahmanirrahim?,Dengan nama Allah Yang Maha Pengasih lagi Maha Penyayang,Dengan nama Allah Yang Maha Suci,Dengan nama Allah Yang Maha Agung,Dengan nama Allah Yang Maha Kuasa
020100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apakah maksud ayat Robbil 'aalamiin?,Tuhan semesta alam,Tuhan yang memelihara semesta alam,Tuhan yang menciptakan alam semesta,Tuhan seluruh makhluk
030100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Ayat ke berapakah Iyyaka na'budu wa iyyaka nasta'iin?,Ayat ke-5,Ayat ke-4,Ayat ke-6,Ayat ke-7
040100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apakah maksud ayat Ihdina shiral mustaqim?, Tunjukilah kami jalan yang lurus,Tunjukilah kami jalan ke syurga mu,Tunjukilah kami jalan yang engkau redai, Ini adalah dalan yang benar
050100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apakah maksud ayat shiral ladziina an'amta'alaihim?,Jalan orang-orang yang engkau beri nikmat,Jalan orang-orang yang engkau murkai,Jalan orang-orang yang sesat,Jalan orang-orang yang beriman
060100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apakah maksud Ar-Rahman?,Yang Maha Pengasih,Yang Maha Kuasa,Yang Maha Pengampun,Yang Maha Penyayang
070100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apakah maksud ayat Maliki Yaumiddin?,Pemilik Hari Pembalasan,Raja pada Hari Kiamat, Penguasa Hari Kebangkitan,Pemegang Kuasa pada Hari Pengadilan
080100101,1,AL-FATIHAH(AYAT 1-7),Ayat Surah,Apa maksud ayatGhayr al-maghdubi 'alayhim?,Bukan jalan orang-orang yang dimurkai,Bukan jalan orang-orang yang tersesat,Bukan jalan orang-orang yang celaka,Bukan jalan orang-orang yang kafir
090100101,1,AL-FATIHAH(AYAT 1-7),Fakta,Berapakah jumlah ayat dalam Surah Al-Fatihah?,7 ayat,5 ayat,6 ayat,8 ayat
100100101,1,AL-FATIHAH(AYAT 1-7),Fakta,Surah apakah yang disebut sebagai Ummul Quran?,Surah Al-Fatihah, Surah Al-Baqarah,Surah An-Nas,Surah Al-Ikhlas
010100201,1,AL-BAQARAH(AYAT 1-141),Fakta,Apakah yang dimaksudkan dengan kitab yang diturunkan dalam ayat pertama?,Al-Quran,Taurat,Injil,Zabur
020100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Golongan manakah yang akan mendapat petunjuk dari kitab (Al-Quran) tersebut?,Orang-orang yang bertakwa,Orang-orang musyrik,Orang-orang munafik,Orang-orang kafir
030100201,1,AL-BAQARAH(AYAT 1-141),Fakta,Apakah ciri utama orang-orang yang bertakwa yang disebutkan dalam surah Al-Baqarah?,Mendirikan solat dan menunaikan zakat,Berpuasa di bulan Ramadan,Melaksanakan ibadah haji,Membaca Al-Quran
040100201,1,AL-BAQARAH(AYAT 1-141),Fakta,Apakah yang dimaksud dengan mereka beriman kepada yang ghaib?,Percaya kepada perkara-perkara ghaib seperti Allah malaikat hari akhirat.,Percaya kepada hal-hal yang tidak masuk akal,Percaya kepada roh-roh halus,Percaya kepada alam barzakh
050100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Siapakah yang dimaksud dengan orang-orang yang mengatakan bahawa mereka beriman dengan mulutnya padahal hati mereka tidak beriman?,Orang-orang munafik,Orang-orang kafir,Orang-orang musyrik,Orang-orang zalim
060100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Bagaimanakah sikap orang-orang munafik terhadap orang-orang beriman?,Memusuhi dan mendustai,Membantu dan mendukung,Mencintai dan mengasihi,Mengajak dan membimbing
070100201,1,AL-BAQARAH(AYAT 1-141),Hukum,Apakah balasan yang akan diterima oleh orang-orang munafik di akhirat kelak?,Diazab di neraka,Masuk syurga,Diberi ampunan,Dikembalikan ke dunia
080100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Siapakah yang menciptakan langit dan bumi?,Allah SWT,Malaikat,Nabi Muhammad SAW,Rasul-rasul
090100201,1,AL-BAQARAH(AYAT 1-141),Hukum,Apakah balasan bagi orang-orang yang ingkar terhadap ayat-ayat Allah SWT?,Disiksa di neraka,Diusir dari syurga,Dikutuk oleh manusia,Dihukum mati
100100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Siapakah yang disebutkan dalam surah Al-Baqarah pernah diciptakan dari tanah?,Nabi Adam AS,Nabi Musa AS,Malaikat Jibril AS,Nabi Isa AS
110100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Apa yang diperintahkan Allah kepada malaikat ketika Dia hendak menciptakan Nabi Adam?,Bersujud kepada Adam AS,Memberi salam kepada Adam AS,Mencium kaki Adam,Mengajarkan ilmu kepada Adam
120100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Apakah peringatan Allah kepada Bani Israil?,Agar mereka mematuhi perintah Allah,Agar mereka menghormati Nabi Muhammad,Agar mereka menghormati Malaikat,Agar mereka tidak menyembah selain Allah
130100201,1,AL-BAQARAH(AYAT 1-141),Cerita,Peristiwa manakah yang disebut dalam suruh Al-Baqarah yang menimpa Firaun dan kaumnya?,Diazab dengan ditenggelamkan di laut,Diazab dengan kemarau panjang,Diazab dengan banjir besar,Diazab dengan gempa hebat
