010100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What is the meaning of the verse Bismillahirrahmanirrahim?,In the name of God the Most Merciful and the Most Merciful,In the name of God Almighty,In the name of Most Great God,In the name of Powerful God
020100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What does the verse Robbil 'aalamiin mean?,Lord of the universe,God who preserves the universe,God created the universe,Lord of all beings
030100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What verse is Iyyaka na'budu wa iyyaka nasta'iin?,The 5th verse,The 4th verse,The 6th verse,The 7th verse
040100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What does the verse Ihdina shiral mustaqim mean?,Show us the straight path,Show us the way to your heaven,Show us the way you have pleased,This is the right path
050100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What is the meaning of the verse shiral ladziina an'amta'alaihim?,The path of those you give favors to,The path of those whom you have angered,The way of the lost,The way of the believers
060100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What does Ar-Rahman mean?,The Most Merciful,The Almighty,The Most Forgiving,The Most Loving
070100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What is the meaning of the verse Maliki Yaumiddin?,Owner of the Day of Judgement,King on Judgment Day,Lord of the Day of Resurrection,Powers on Judgment Day
080100102,1,AL-FATIHAH(AYAT 1-7),Chapter Verses,What does the verse Ghayr al-maghdubi 'alayhim mean?,Not those You are displeased with,Not those who are lost,Not the way of the wretched,Not the way of the unbelievers
090100102,1,AL-FATIHAH(AYAT 1-7),Fact,How many verses in Surah Al-Fatihah?,7 verses,5 verses,6 verses,8 verses
100100102,1,AL-FATIHAH(AYAT 1-7),Fact,What surah is called Ummul Quran?,Surah Al-Fatihah,Surah Al-Baqarah,Surah An-Nas,Surah Al-Ikhlas
010100202,1,AL-BAQARAH(AYAT 1-141),Fact,What is meant by the revealed book in the second verse of surah Al-Baqarah?,Al-Quran,Taurat,Injil,Zabur
020100202,1,AL-BAQARAH(AYAT 1-141),Story,Which group will get guidance from the book (Al-Quran)?,Pious people,The polytheists,Hypocrites,The infidels
030100202,1,AL-BAQARAH(AYAT 1-141),Fact,What are the main characteristics of pious people mentioned in surah Al-Baqarah?,Establishing prayer and paying zakat,Perform Sunnah fasting,Performing Hajj,Reading the al-Quran
040100202,1,AL-BAQARAH(AYAT 1-141),Fact,What does Belief in al-Ghaib means?,Believing in unseen things such as God angels and the afterlife,Believe in the power of ghost,Believe in spirits,Believe that there is next life after death
050100202,1,AL-BAQARAH(AYAT 1-141),Story,Who is meant by those who say that they believe with their mouthseven though their hearts do not believe?,Hypocrites,The infidels,The polytheists,Cruel people
060100202,1,AL-BAQARAH(AYAT 1-141),Story,What is the attitude of the hypocrites towards the believers?,Hostile and lying,Help and support,Love and care,Invite and guide
070100202,1,AL-BAQARAH(AYAT 1-141),Hukum,What will the hypocrites receive in the afterlife?,Punished in hell,Enter heaven,Granted forgiveness,Returned to the world
080100202,1,AL-BAQARAH(AYAT 1-141),Story,Who created the heavens and the earth?,Allah SWT,Angel,Prophet Muhammad SAW,Messengers
090100202,1,AL-BAQARAH(AYAT 1-141),Hukum,What is the punishment for those who disobey the verses of Allah SWT?,Tortured in hell,Expelled from heaven,Cursed by jinn,Sentenced to death
100100202,1,AL-BAQARAH(AYAT 1-141),Story,Who is mentioned in Surah Al-Baqarah as having been created from soil?,Prophet Adam pbuh,Prophet Musa pbuh,Angel Jibril pbuh,Prophet Isa pbuh
110100202,1,AL-BAQARAH(AYAT 1-141),Story,What did God command the angels when He wanted to create Prophet Adam?,Prostrate to Adam pbuh,Greetings to Adam pbuh,Kissing Adam's feet,Teaching knowledge to Adam
120100202,1,AL-BAQARAH(AYAT 1-141),Story,What is God's warning to the Bani of Israel?,So that they obey God's commands,So that they respect Prophet Muhammad,So that they respect the Angels,So that they do not worship other than Allah
130100202,1,AL-BAQARAH(AYAT 1-141),Story,Which event is mentioned in Surah Al-Baqarah that befell Pharaoh and his people?,Punished by being drowned in the sea,Punished with a long drought,Punished with a great flood,Punished by a great earthquake
140100202,1,AL-BAQARAH(AYAT 1-141),Story,Why are the Bani of Israel forbidden to enter a country?,Because the population is very strong,Because the country is very prosperous,Because the country is full of sin,Because the people are very cruel
150100202,1,AL-BAQARAH(AYAT 1-141),Fact,What is the command of Allah SWT to the believers?,Say good words,Be people who always repent,Be grateful people,Increase charity
160100202,1,AL-BAQARAH(AYAT 1-141),Story,Who is meant by a people whose hearts have been blinded?,The Jews,The polytheists,Hypocrites,The infidels
170100202,1,AL-BAQARAH(AYAT 1-141),Story,Who is called a Imam for human?,Prophet Ibrahim pbuh,Prophet Musa pbuh,Prophet Muhammad SAW,Prophet Isa pbuh
180100202,1,AL-BAQARAH(AYAT 1-141),Story,Who helped Prophet Ibrahim pbuh build the Kaaba?,Prophet Ismail pbuh,Prophet Musa pbuh,Prophet Harun pbuh,Prophet Yusuf pbuh
190100202,1,AL-BAQARAH(AYAT 1-141),Story,Why did Allah SWT order Prophet Ibrahim pbuh to pray?,To send a messenger from his descendants,To be given victory over the enemy,To be forgiven of his sins,To be given many descendants
010200202,2,AL-BAQARAH(AYAT 142-252),Fact,What is meant by qibla?,Direction to face when praying,Place of pilgrimage,Directions to pray,Qibla direction in Mecca and Medina
020200202,2,AL-BAQARAH(AYAT 142-252),Fact,From where does the change of Qibla direction occur?,From Masjidil Aqsa to Masjidil Haram,From Masjidil Haram to Masjidil Aqsa,From Mecca to Medina,From Medina to Mecca
030200202,2,AL-BAQARAH(AYAT 142-252),Story,Who is called the middle people?,The people of Prophet Muhammad SAW,The people of Prophet Ibrahim pbuh,The people of Prophet Musa pbuh,Ummah before Prophet Muhammad SAW
040200202,2,AL-BAQARAH(AYAT 142-252),Hukum,What is the punishment for murder?,Qisas (compensated with appropriate punishment),Cruel death sentence,Half life imprisonment,Pay only small fine
050200202,2,AL-BAQARAH(AYAT 142-252),Fact,Who does not receive forgiveness from Allah SWT?,People who worship other God other than Allah,People who commit minor sins,People who repent nasuha,People who believe and do good deeds
060200202,2,AL-BAQARAH(AYAT 142-252),Fact,What is commanded to the believers?,Make a will before you die,Fasting in the month of Syaaban,Performing Hajj oon Muharram month,Maintain social status
